"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.62234190024889,0.552,0.07,0,"0","CSF3"
5.65679876171843e-171,3.26294604741425,0.127,0.018,5.09174113341038e-166,"0","MADCAM1"
0,3.21671169093946,0.261,0.025,0,"0","ENSG00000288520"
0,3.16908539731182,0.234,0.027,0,"0","NPHS1"
0,3.03940116674844,0.582,0.131,0,"0","IL6"
0,2.99215291486096,0.244,0.029,0,"0","TMEM176A"
0,2.97140655666265,0.579,0.069,0,"0","HLA-DQA2"
9.95794465818712e-272,2.90590991687048,0.172,0.018,8.96324556628081e-267,"0","SLAMF1"
7.48677343717182e-290,2.83906757962854,0.179,0.017,6.73891963853272e-285,"0","SEMA3E"
2.87546205879605e-321,2.66952502605245,0.334,0.09,2.58823215374292e-316,"0","G0S2"
0,2.61539335894523,0.282,0.032,0,"0","IL18R1"
0,2.6146058118172,0.966,0.293,0,"0","ACKR1"
0,2.57116359860133,0.423,0.047,0,"0","CCL23"
0,2.52616572947166,0.255,0.036,0,"0","TMEM176B"
6.76724194522869e-283,2.51937887471786,0.175,0.016,6.0912621473198e-278,"0","MLIP"
0,2.49553257857059,0.494,0.054,0,"0","C7"
0,2.46067339441712,0.906,0.243,0,"0","SELE"
1.53313751366502e-163,2.43206964608672,0.109,0.012,1.37999240742502e-158,"0","SLCO5A1"
7.78078404160517e-191,2.42340772135238,0.156,0.027,7.00356152368923e-186,"0","ENSG00000289009"
0,2.41399277110452,0.415,0.076,0,"0","ENSG00000255872"
0,2.4109352917501,0.324,0.051,0,"0","LRG1"
1.92247948545651e-235,2.41075444353147,0.196,0.036,1.73044300965426e-230,"0","ENSG00000188897"
0,2.40671162797031,0.453,0.09,0,"0","ICAM4"
1.55520414783396e-239,2.39996990006476,0.167,0.021,1.39985480550682e-234,"0","CYP2U1-AS1"
0,2.30212035139882,0.317,0.042,0,"0","C1QTNF1"
8.81623635570455e-295,2.29805160442532,0.198,0.023,7.93558250613322e-290,"0","ENSG00000288775"
0,2.26577044850807,0.395,0.062,0,"0","SGMS2"
4.44823636996824e-122,2.24654483401386,0.104,0.018,4.00390203897212e-117,"0","ENSG00000279981"
1.69184681936714e-224,2.22795884638843,0.189,0.035,1.52284824058055e-219,"0","ENSG00000240291"
3.54979930929203e-288,2.22512563635817,0.178,0.016,3.19520985628685e-283,"0","LIPG"
1.36181656403281e-247,2.20311721841286,0.223,0.046,1.22578470745157e-242,"0","ENSG00000249175"
3.72939617704046e-237,2.1983087371815,0.176,0.025,3.35686679291589e-232,"0","EPOP"
1.88071520896396e-253,2.19628976978731,0.162,0.016,1.69285056674055e-248,"0","UBD"
0,2.19485695315847,0.344,0.065,0,"0","SAMD4A-AS1"
1.97487699669059e-135,2.18758250391018,0.111,0.018,1.77760653349116e-130,"0","NCR3LG1"
0,2.17378208993767,0.403,0.075,0,"0","CPE"
0,2.16829283683155,0.327,0.048,0,"0","SNAP25"
0,2.15061785828951,0.815,0.221,0,"0","ENSG00000286533"
3.50771451374069e-175,2.12521869540551,0.124,0.016,3.15732891096313e-170,"0","ICAM5"
1.5110778809503e-167,2.12056979152449,0.128,0.019,1.36013631142217e-162,"0","TSLP"
0,2.11718293212705,0.232,0.024,0,"0","TTC39A"
2.31417110585982e-156,2.11092464017278,0.136,0.025,2.08300855409548e-151,"0","KCNK1"
1.49878304993133e-177,2.10435071122427,0.125,0.016,1.34906961107369e-172,"0","ENSG00000290927"
1.13991752067443e-146,2.09594660123762,0.114,0.017,1.02605115953426e-141,"0","RETREG1"
0,2.09587022800162,0.389,0.064,0,"0","FAM110B"
2.0328823740418e-276,2.09376024661821,0.178,0.019,1.82981775369877e-271,"0","DENND2D"
8.15628267518366e-205,2.08926646388101,0.177,0.033,7.34155159875956e-200,"0","ENSG00000255202"
1.31110366963778e-187,2.08437755618688,0.116,0.01,1.18013752407767e-182,"0","SLC8A3"
0,2.08085325936737,0.359,0.073,0,"0","RYR3"
0,2.07989272535897,0.354,0.07,0,"0","RRAGC-DT"
1.97626258336499e-323,2.00314561914865,0.299,0.068,1.77885371391266e-318,"0","ENSG00000305207"
0,2.00257754103339,0.732,0.132,0,"0","SELP"
1.12310076322585e-168,1.98629560086185,0.137,0.022,1.01091422798722e-163,"0","HAS2"
0,1.98420116694994,0.968,0.574,0,"0","SOD2"
1.17633536242553e-315,1.9800911808299,0.267,0.051,1.05883122307285e-310,"0","CYP7B1"
0,1.95423444147245,0.477,0.127,0,"0","HMOX1"
4.8962752194463e-223,1.94733992107046,0.178,0.029,4.40718628777581e-218,"0","ENSG00000302750"
0,1.94625107581897,0.387,0.087,0,"0","ENSG00000290008"
0,1.93828974170445,0.407,0.091,0,"0","ENSG00000271204"
0,1.9374720833556,0.59,0.136,0,"0","BIRC3"
2.29026605741599e-252,1.92802067927575,0.212,0.039,2.0614913809407e-247,"0","RPL7P18"
7.36443586680279e-193,1.91717588042938,0.142,0.02,6.62880236806786e-188,"0","PTGES"
1.2224128996548e-224,1.91536545882383,0.19,0.034,1.10030607510828e-219,"0","BATF3"
3.47657840869818e-292,1.91349151078091,0.267,0.058,3.12930299145332e-287,"0","SNHG26"
0,1.91092119826586,0.513,0.2,0,"0","MT1X"
0,1.90969281735521,0.668,0.167,0,"0","HAPLN3"
0,1.90814707169283,0.979,0.459,0,"0","ZNF385D"
2.79944734725793e-228,1.89080315438138,0.185,0.031,2.51981055174034e-223,"0","IL1R1-AS1"
0,1.86076501667022,0.627,0.133,0,"0","IL1R1"
0,1.8607409047612,0.976,0.493,0,"0","ICAM1"
0,1.84308201315858,0.475,0.15,0,"0","PTGDS"
5.95424400256156e-313,1.83822674043307,0.314,0.077,5.35947456914569e-308,"0","SLIT2"
6.03979520101223e-293,1.83406633755334,0.307,0.079,5.43648005838311e-288,"0","SERPINE3"
9.33644512251334e-294,1.82964416527236,0.236,0.041,8.40382761922548e-289,"0","LINC02940"
1.15247733006575e-310,1.82195114931049,0.261,0.049,1.03735636956548e-305,"0","HLA-L.1"
7.08706578672652e-226,1.81003130305302,0.209,0.043,6.37913878529041e-221,"0","ENSG00000300496"
3.795483518479e-182,1.80260415013253,0.177,0.038,3.41635266981813e-177,"0","RHBDL2"
1.36894065338754e-300,1.797361965147,0.285,0.063,1.23219717152065e-295,"0","TNFSF9"
0,1.79676049393472,0.427,0.106,0,"0","NFKBID"
1.27557029399811e-148,1.79404023538675,0.13,0.024,1.14815357733064e-143,"0","DEPDC1B"
0,1.78908274913549,0.575,0.159,0,"0","ZC3H12A"
4.09293559568927e-169,1.76977814950196,0.149,0.028,3.68409225903587e-164,"0","AK4"
0,1.76881602852011,0.459,0.105,0,"0","ENSG00000283445"
0,1.76760197447008,0.851,0.311,0,"0","CLU"
0,1.76188607591587,0.661,0.164,0,"0","ELOVL7"
0,1.76071588668108,0.454,0.128,0,"0","ADM5"
0,1.74764043463197,0.358,0.097,0,"0","LCN6"
0,1.74560734506017,0.334,0.071,0,"0","CBR3"
4.12579510461124e-265,1.73803476089671,0.36,0.124,3.71366943161162e-260,"0","MED24"
0,1.7370543446269,0.465,0.131,0,"0","CXCL3"
0,1.72211262588562,0.982,0.655,0,"0","LINC-PINT"
0,1.71598781027886,0.606,0.15,0,"0","OLFM1"
7.06805555163328e-113,1.71112665335845,0.111,0.024,6.36202748258063e-108,"0","TMEM217"
2.40252317895309e-92,1.7080391543688,0.103,0.026,2.16253513860746e-87,"0","ENSG00000228521"
0,1.70415593583418,0.752,0.336,0,"0","CCL2"
0,1.69761418734465,0.364,0.075,0,"0","CA8"
0,1.69655738308426,0.346,0.077,0,"0","DAPK1"
0,1.682607399992,0.292,0.057,0,"0","CDKN3"
0,1.66884972825087,0.408,0.061,0,"0","RAB3C"
0,1.66572567362659,0.727,0.3,0,"0","LITAF"
2.37854742797539e-235,3.467916976227,0.16,0.019,2.14095432539493e-230,"1","PDGFDDN"
1.69150299348251e-142,3.21835873106411,0.101,0.012,1.52253875946354e-137,"1","ENSG00000286891"
2.66912740017923e-208,2.83305975554022,0.186,0.033,2.40250826417533e-203,"1","NCAL1"
1.04701807959814e-207,2.66612735725688,0.185,0.032,9.42431443627084e-203,"1","ENSG00000250863"
0,2.60857618886993,0.756,0.3,0,"1","IGFBP3"
1.45255299877326e-321,2.60788679389336,0.309,0.063,1.3074574797258e-316,"1","HAPLN1"
4.79340634211962e-300,2.60753519563526,0.347,0.09,4.31459298260529e-295,"1","COL13A1"
1.12435628938439e-116,2.60742462607914,0.117,0.023,1.01204433963779e-111,"1","HTR1F"
7.3674162564808e-208,2.57581209651865,0.251,0.063,6.63148504662094e-203,"1","SLC1A4"
0,2.55786782745034,0.346,0.055,0,"1","SCIN"
0,2.52792768779544,0.457,0.118,0,"1","NHS"
0,2.51151370127759,0.569,0.141,0,"1","APCDD1"
1.2544698859315e-103,2.47284718060506,0.119,0.027,1.1291608890258e-98,"1","ENSG00000251388"
0,2.42158578764758,0.441,0.12,0,"1","ENSG00000248636"
1.07139182100848e-275,2.41389474839303,0.307,0.072,9.64370492007945e-271,"1","FCN3"
8.29081674263842e-260,2.40147318811429,0.237,0.043,7.46264705821627e-255,"1","KCNMA1"
0,2.39339174732529,0.387,0.076,0,"1","ADAMTSL2"
1.23665054484863e-270,2.38245408495945,0.314,0.077,1.1131215219237e-265,"1","PDE3A"
4.48196691970371e-147,2.34825502570582,0.24,0.078,4.03426324409451e-142,"1","SLC7A11"
4.14243115908495e-236,2.32120408545047,0.295,0.077,3.72864371060395e-231,"1","GRAMD1B"
1.42709813393944e-315,2.27725544347838,0.338,0.076,1.28454530134023e-310,"1","DGKI"
2.36943026911952e-97,2.25527129640533,0.114,0.026,2.13274787953717e-92,"1","ENSG00000267009"
0,2.25176753442706,0.512,0.169,0,"1","ANGPTL2"
3.04422496799986e-143,2.24873921929275,0.201,0.056,2.74013733594635e-138,"1","RP1"
1.91520226972619e-84,2.23478666425049,0.111,0.028,1.72389271500324e-79,"1","LINC03124"
1.17576955427051e-85,2.2295935612725,0.1,0.023,1.05832193349443e-80,"1","ENSG00000244701"
0,2.22687589132048,0.516,0.161,0,"1","ACE"
0,2.20837376634865,0.472,0.094,0,"1","SNTB1"
5.04195091941792e-133,2.20340921755436,0.151,0.034,4.53831044207727e-128,"1","ENSG00000302423"
0,2.20138799797355,0.644,0.135,0,"1","ESM1"
0,2.19563016490268,0.514,0.12,0,"1","UNC5B"
1.62633931065798e-177,2.1948409239232,0.265,0.08,1.46388427691635e-172,"1","NPTX2"
4.50509584846754e-125,2.18409723040845,0.197,0.06,4.05508182416412e-120,"1","SPOCK2"
4.26671294134113e-101,2.17642649318237,0.116,0.026,3.84051098563056e-96,"1","ENSG00000251199"
0,2.16219440541779,0.86,0.365,0,"1","MIR4435-2HG"
7.9371445848757e-308,2.09631169625601,0.34,0.079,7.14430321229246e-303,"1","FOLH1"
8.82422135488377e-247,2.09567348834097,0.268,0.058,7.94276988374443e-242,"1","KCNE3"
0,2.09075165951645,0.595,0.147,0,"1","KCNQ1"
1.27682775872283e-300,2.0768304004535,0.396,0.114,1.149285433904e-295,"1","LRATD1"
5.22620122435139e-200,2.07681687758211,0.307,0.095,4.70415598405093e-195,"1","ENSG00000229308"
2.06936988814801e-133,2.06636770413152,0.153,0.034,1.8626605300209e-128,"1","TMEM37"
1.4099939604705e-244,2.05748896856957,0.342,0.1,1.2691496637591e-239,"1","CPM"
1.33756146586933e-86,2.05193939212104,0.101,0.022,1.20395245104364e-81,"1","P2RY1"
0,2.04065669618979,0.477,0.157,0,"1","ENSG00000229337"
3.10189789143459e-83,2.02799731054997,0.143,0.045,2.79204931105919e-78,"1","EDIL3-DT"
3.24030884400138e-83,2.01271633160522,0.103,0.024,2.91663439357408e-78,"1","KIF5C"
1.94007002857783e-300,2.00052721881931,0.355,0.088,1.74627643342319e-295,"1","NRCAM"
1.92327261487539e-63,1.99322297252798,0.107,0.033,1.73115691337549e-58,"1","ENSG00000293906"
1.54240339755943e-159,1.94707553482495,0.239,0.07,1.38833272217722e-154,"1","ENSG00000280878"
2.62462501834454e-144,1.93317226637531,0.206,0.057,2.36245122526211e-139,"1","SPAAR"
0,1.92963912730884,0.596,0.176,0,"1","PDGFD"
7.68846901823916e-186,1.92800366225289,0.366,0.146,6.92046784800725e-181,"1","FJX1"
0,1.91980998328285,0.53,0.14,0,"1","CA2"
0,1.90996266737869,0.727,0.337,0,"1","CYTOR"
2.6054409922486e-60,1.89066256752251,0.122,0.043,2.34518349153289e-55,"1","ENSG00000287306"
4.56881019606983e-151,1.85576295189964,0.216,0.06,4.11243174558441e-146,"1","IQGAP2"
6.68366291156037e-175,1.84841781111898,0.236,0.062,6.0160318233246e-170,"1","GABRD"
3.13133675611498e-248,1.84297150875311,0.441,0.164,2.81854752754666e-243,"1","ITIH5"
0,1.83647367782186,0.58,0.22,0,"1","RAB31"
0,1.83137758941048,0.594,0.192,0,"1","ITGA8"
3.85212855618324e-135,1.82172822302114,0.257,0.092,3.46733943470609e-130,"1","RARG"
0,1.81756488796045,0.986,0.671,0,"1","INSR"
4.86520575549341e-164,1.81041832829287,0.35,0.14,4.37922035257718e-159,"1","CXCR4"
0,1.8062204265407,0.567,0.232,0,"1","PTP4A3"
1.54604347431403e-105,1.79737294850503,0.153,0.042,1.3916091916648e-100,"1","ZNF503-AS1"
1.70856042260803e-70,1.79675895422851,0.143,0.05,1.53789232199372e-65,"1","ARHGEF17"
0,1.79446419597309,0.718,0.313,0,"1","ITGA1"
2.6552010811839e-49,1.79346686591282,0.197,0.101,2.38997304518444e-44,"1","SPP1"
1.25424606331335e-195,1.78673350490154,0.29,0.085,1.12895942404898e-190,"1","EXOC3L1"
4.77296119916648e-112,1.78655995875705,0.161,0.044,4.29619010498174e-107,"1","INKA1"
0,1.78074514974687,0.583,0.234,0,"1","EXOC3L2"
1.22136791068891e-87,1.76481172994406,0.13,0.036,1.0993654700902e-82,"1","ENSG00000303888"
1.74235383603087e-99,1.74738095192123,0.169,0.053,1.56831011134974e-94,"1","TRERF1"
6.09356025088404e-73,1.73639060771014,0.191,0.08,5.48487451742324e-68,"1","DEPTOR"
1.44823912333942e-175,1.73518454989771,0.335,0.123,1.30357451730905e-170,"1","KCNK5"
9.89668629232245e-63,1.7330249370973,0.11,0.034,8.90810629858236e-58,"1","TOR4A"
2.12384265119334e-116,1.7176515636958,0.216,0.074,1.91169200876564e-111,"1","ROR1"
0,1.71645124071117,0.501,0.162,0,"1","RCAN2"
6.80594918935259e-91,1.69730378439311,0.202,0.076,6.12610292482816e-86,"1","CRISPLD1"
